GYear,GMonth,GDay,GoldText,GoldVerse,GoldFrame,GoldAlign,GoldSize,BigText,BigAlign,BigSize,SmallText
2016,1,1,你要認識神，就得平安；#福氣也必臨到你。,約伯記22章21節,S,C,M,一年之始，始於元旦，#一生之始，始於信主。,C,L,.
2016,1,2,鑒察人心的、曉得聖靈的意思．#因為聖靈照著神的旨意替聖徒祈求。,羅馬書8章27節,S,C,M,禱告不是因循，#是人的實質需要。,C,L,.
2016,1,3,但你們在那裡必尋求耶和華#你的神．你盡心盡性尋求#他的時候、就必尋見。 ,申命記4章29節,S,C,M,心中專注集中向神，#就得能力。,C,L,.
2016,1,4,殷勤不可懶惰，要心裡火熱，#常常服事主。,羅馬書12章11節,S,C,M,工作態度一（快做）：#今天的事今天做，#明日愁來明日當。,C,L,.
2016,1,5,少種的少收，#多種的多收。,哥林多後書9章6節上,S,C,M,工作態度二（多做）：#熟能生巧，#何樂不為。,C,L,.
2016,1,6,你當預備迎見你的神。,阿摩司書4章12節,S,C,M,工作態度三（能做）：#先溫習，後考試。,C,L,.
2016,1,7,甘心事奉，好像服事主，#不像服事人。,以弗所書6章7節,S,C,M,工作態度四（願做）：#我願意，不一定結婚才說。,C,L,.
2016,1,8,願耶和華從錫安賜福給你。#願你一生一世、#看見耶路撒冷的好處。 ,詩篇128篇5節,S,C,M,至高造物主宰對人的賜福。,C,L,.
2016,1,9,凡事都可行．但不都有益處。#凡事都可行．但不都造就人。,哥林多前書10章23節,S,C,M,凡事不求自己益處，#只求別人益處。,C,L,.
2016,1,10,我們若是靠聖靈得生、#就當靠聖靈行事。,加拉太書5章25節,S,C,M,聖靈伴人同行人生路。,C,L,.
2016,1,11,凡自高的，必降為卑；#自卑的，必升為高。,馬太福音23章12節,S,C,M,動腦筋：#自大加一點,C,L,（猜一字，明天揭曉）
2016,1,12,尊榮以前，必有謙卑。,箴言15章33節,S,C,M,恃才傲物苦自招，#虛懷若谷樂融融。,C,L,（「動腦筋」答案：臭）
2016,1,13,親愛的弟兄、不要自己伸冤、#寧可讓步、聽憑主怒。,羅馬書12章19節,S,C,M,#主說：#「伸寃在我，我必報應。」,C,L,.
2016,1,14,多言多語難免有過．#禁止嘴唇是有智慧。 ,箴言10章19節,S,C,M,仔細思想後才說話。,C,L,.
2016,1,15,他曾照自己的大憐憫，藉耶穌#基督從死裡復活，重生了我們，#叫我們有活潑的盼望,彼得前書1章3節下,S,C,M,健康篇：#減肥不是看磅數，而是#看體內脂肪的百分比。,C,L,.
2016,1,16,主每早晨提醒，提醒我的耳朵，#使我能聽，像受教者一樣。,以賽亞書50章4節下,S,C,M,早晨是一天的開始，#也是對神盼望的時刻。,C,L,.
2016,1,17,行事為人要端正、好像行在白晝．#不可荒宴醉酒．不可好色邪蕩．#不可爭競嫉妒。,羅馬書13章13節,S,C,M,紀律就是自我的約束。,C,L,.
2016,1,18,你們必須忍耐、#使你們行完了神的旨意、#就可以得著所應許的。,希伯來書10章36節,S,C,M,恆心等待，#使命必達。,C,L,.
2016,1,19,你要專心仰賴耶和華，#不可倚靠自己的聰明。,箴言3章5節,S,C,M,笑話一則：#甲：你有不少朋友？#乙：需要我時多些，我需要他們時少些。,C,L,(唯有耶和華不變)
2016,1,20,然而敬虔加上知足#的心便是大利了,提摩太前書6章6節,S,C,M,人沒有帶什麼來世界，#也不能帶走什麼離開。,C,L,.
2016,1,21,免我們的債、#如同我們免了人的債。,馬太福音6章12節,S,C,M,耶穌基督以寶血，#赦免我們的罪。,C,L,.
2016,1,22,愛裡沒有懼怕．#愛既完全、就把懼怕除去．,約翰壹書4章18節,S,C,M,飲食篇－豆漿與蜂蜜：#二者結合產生沉澱物，#身體不容易吸收。,C,L,愛與懼怕，不要放在一起。
