GYear,GMonth,GDay,GoldText,GoldVerse,GoldFrame,GoldAlign,GoldSize,BigText,BigAlign,BigSize,SmallText
2018,1,1,你要认识神，就得平安；#福气也必临到你。 ,约伯记22章21节,S,C,M,一年之始，始于元旦，#一生之始，始于信主。 ,C,L,.
2018,1,2,膏油与香料使人心喜悦，#朋友诚心的劝勉也是如此甘美。 ,箴言27章9节,S,C,M,食物篇：#疏菜被虫子咬过未必安全，有些#农夫可能因为菜被咬，加重了农#药。无论如何，请彻底清洗。 ,C,L,.
2018,1,3,应当更加殷勤、使你们所蒙的#恩召和拣选坚定不移．你们#若行这几样、就永不失脚。 ,彼得后书1章10节,S,C,M,如果认为自己对事物熟识，#很容易会导致轻视，甚至狂妄。 ,C,L,.
2018,1,4,你们要留意听从我#的话，就能吃那美物，#得享肥甘，心中喜乐。 ,以赛亚书55章2节,S,C,M,食物篇：#脂肪组织经过低温、长时间加热后，#会与其他成份结合产生香味。 ,C,L,.
2018,1,5,因为人子来，并不是要受人#的服事，乃是要服事人。 ,马可福音10章45节,S,C,M,护理病人时，与他寒暄，#关心问候，同样的工作，#双倍的果效。 ,C,L,.
2018,1,6,凡事包容,哥林多前书13章7节,S,C,M,你有没有错？ ,C,L,.
2018,1,7,凡事相信,哥林多前书13章7节,S,C,M,怀疑神已忘记你？ #还是祂有更好的安排！ ,C,L,.
2018,1,8,凡事盼望,哥林多前书13章7节,S,C,M,凡事盼望，多数人也不会否定； #但盼望的基础来自什么？ ,C,L,.
2018,1,9,凡事忍耐,哥林多前书13章7节,S,C,M,神容忍你多久？ #你不能容忍一刻吗？ ,C,L,.
2018,1,10,我是葡萄树、你们是枝子． #常在我里面的、我也常在他里面、#这人就多结果子． ,约翰福音15章5节,S,C,M,葡萄树有两种枝子，一种结葡萄；另#一种不会。所以必须经常把不结果子#的枝叶剪掉， 免得消耗了树的养分。 ,C,L,.
2018,1,11,彼得说、#众人虽然为你的缘故跌倒、#我却永不跌倒。 ,马太福音26章33节,S,C,M,「彼得」不能遵守自己说出的#承诺，三次不认主。承诺前要三思。 ,C,L,.
2018,1,12,操练身体、益处还少． #惟独敬虔、凡事都有益处． #因有今生和来生的应许． ,提摩太前书4章8节,S,C,M,体格可在跑步机上训练，#但灵命却不能原地踏步。 ,C,L,.
2018,1,13,耶稣从那里往前走、看见一#个人名叫马太、坐在税关上#、就对他说、你跟从我来． #他就起来、跟从了耶稣。 ,马太福音9章9节,S,C,M,天下父母能一叫「起来吧！」，#小朋友便能即时起床，太美妙了!,C,L,.
2018,1,14,你们要查考宣读耶和华的书,以赛亚书34章16节,S,C,M,笑话一则：#小明说：「读中文圣经的人比读英文更接#近神。」大明说：「点解？」小明回答：#「因为他们由上而下看，一直点头。」,C,L,.
2018,1,15,我们爱，#因为神先爱我们。 ,约翰一书4章19节,S,C,M,尝试以主耶稣为榜样，#踏出第一步，勇敢去爱。 ,C,L,.
2018,1,16,我总不撇下你、#也不丢弃你。 ,希伯来书13章5节,S,C,M,有人攻击你、陷害你，#但不要忘记：#一定有支持你的人！ ,C,L,.
2018,1,17,设筵满屋、大家相争、#不如有块干饼、大家相安。 ,箴言17章1节,S,C,M,食物篇：#轻轻撕一下便破的用完即弃#餐盒，质量不可靠。 ,C,L,.
2018,1,18,人人吃喝、#在他一切劳碌中享福． #这也是神的恩赐。 ,传道书3章13节,S,C,M,食物篇：#开水泡茶，如放置半小时后#，发现上浅下深颜色，可能#加入化学染料。 ,C,L,.
2018,1,19,不要为明天忧虑,马太福音6章34节,S,C,M,忧虑明天便错过今天。 ,C,L,.
2018,1,20,不要为生命忧虑,马太福音6章25节,S,C,M,忧虑生命便错过生命。 ,C,L,.
2018,1,21,应当一无挂虑,腓立比书4章6节,S,C,M,神已经为我们预备了，#生命是由神掌控，不用忧虑。 ,C,L,.
2018,1,22,所以你们或吃或喝、#无论作什么、#都要为荣耀神而行。 ,哥林多前书10章31节,S,C,M,或吃或喝，不止充饥、不止解喝。 #要去享受，还要感恩。 ,C,L,.
2018,1,23,主将得救的人、#天天加给他们。 ,使徒行传2章47节,S,C,M,如主给你更多，你做#好预备去迎接吗？ ,C,L,.
2018,1,24,不要怕，只要信！ ,马可福音5章36节,S,C,M,要彼此「肯定」，#而不要彼此「否定」,C,L,.
2018,1,25,求你赐我悟性、#我便遵守你的律法． #且要一心遵守。 ,诗篇119章34节,S,C,M,猜一猜:#携带大量读物。 ,C,L,（猜圣经卷名，明天揭晓）
2018,1,26,你当受劝戒． #著书多、没有穷尽． #读书多、身体疲倦。 ,传道书12章12节,S,C,M,资讯泛滥，没有穷尽。 #上网太多，身体疲倦。 ,C,L,（「动脑筋」答案：提多书）
2018,1,27,爱是永不止息．先知讲道之能、#终必归于无有．说方言之能、#终必停止、知识也终必归于无有。 ,哥林多前书13章8节,S,C,M,先了解，后谅解。 #这是爱的表现。 ,C,L,.
2018,1,28,人点灯，不放在斗底下，#是放在灯台上，#就照亮一家的人。 ,马太福音5章15节,S,C,M,光和暗是对立的。一间#黑暗的房子，只要一开#灯，黑暗就消失。 ,C,L,.
2018,1,29,好施舍的、必得丰裕． #滋润人的、必得滋润。 ,箴言11章25节,S,C,M,不要彼此「要求」，#而要彼此「代求」,C,L,.
2018,1,30,聪明人的心得知识． #智慧人的耳求知识。 ,箴言18章15节,S,C,M,智慧是聪明，人生经验#和历练的累积。 ,C,L,.
2018,1,31,慈爱和诚实，彼此相遇，#公义和平安，彼此相亲。 ,诗篇85章10节,S,C,M,不强求虚名，#一切以平常心吧。 ,C,L,.
2018,2,1,我必安然躺下睡觉、#因为独有你耶和华#使我安然居住。 ,诗篇4章8节,S,C,M,灵里安稳，舒适入睡。 ,C,L,.
